Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5062001, Wayne County, MI",261635062001,2018,28795.8,833,833,146,96.4427,0.9881,,4.0514
"BG5456001, Wayne County, MI",261635456001,2015,26520.8,456,456,60,,0,,0
"BG5456003, Wayne County, MI",261635456003,2015,43619,444,444,35,98.2565,0,0,0
"BG5068002, Wayne County, MI",261635068002,2006,33183.286500835,831,831,140,79.3814,8.1001,0.1473,0
"BG5218001, Wayne County, MI",261635218001,1995,19289.976339001,1176,1176,433,66.9811,3.7736,0,4.0881
"BG5396002, Wayne County, MI",261635396002,1992,49087.343398277,790,790,75,87.9913,0.3275,0,4.2576
"BG5066001, Wayne County, MI",261635066001,1974,46664.774817431,1048,1048,115,,0,,0
"BG5386004, Wayne County, MI",261635386004,1964,41739.327084405,676,676,119,61.0996,28.0083,0,0
"BG5007001, Wayne County, MI",261635007001,1957,53095.366716264,241,241,35,82.9268,5.6098,0,0
"BG5371001, Wayne County, MI",261635371001,1952,33543.594865886,654,654,162,67.3114,24.5648,0,0
"BG5463011, Wayne County, MI",261635463011,1919,51223.775987367,623,623,48,77.2512,9.4787,0,0
"BG5312002, Wayne County, MI",261635312002,1915,116494.50107383,638,638,13,72.5063,1.1735,2.7661,0
"BG5415001, Wayne County, MI",261635415001,1914,16485.668444504,762,762,294,78.1056,9.7826,0,0
"BG5393001, Wayne County, MI",261635393001,1910,44093,803,803,19,84.6154,10.9253,0,0
"BG5350003, Wayne County, MI",261635350003,1903,61373.674775657,532,532,103,97.281,0,0,0
"BG5007004, Wayne County, MI",261635007004,1897,47992.80758264,357,357,0,81.8898,17.5197,0,0
"BG5361002, Wayne County, MI",261635361002,1881,24897.301715753,870,870,270,80.4762,12.6984,0,0
"BG5058002, Wayne County, MI",261635058002,1879,26992.347520844,431,431,40,86.7168,0,0,8.5213
"BG5015001, Wayne County, MI",261635015001,1875,42650.187381058,694,694,101,74.0022,8.5221,0,1.4024
"BG5061001, Wayne County, MI",261635061001,1872,37089.696060653,696,696,198,71.3542,8.2031,1.6927,0
"BG5375001, Wayne County, MI",261635375001,1864,30043.403417357,558,558,103,100,0,0,0
"BG5366002, Wayne County, MI",261635366002,1852,27810,1042,1042,191,82.1429,3.8393,0.2679,5.8929
"BG5390001, Wayne County, MI",261635390001,1846,44389.683504457,640,640,144,82.5871,0,0,13.6816
"BG5113001, Wayne County, MI",261635113001,1839,36415.317142302,457,457,60,83.5991,0,3.4169,0
"BG5432001, Wayne County, MI",261635432001,1838,66173.673096924,547,547,20,91.9886,7.8684,0,0
"BG5406002, Wayne County, MI",261635406002,1827,71443.142130086,619,619,27,89.6597,4.8429,0,0
"BG5189001, Wayne County, MI",261635189001,1818,27664.748006262,896,896,420,71.8919,13.7838,5.1351,5.1351
"BG5394001, Wayne County, MI",261635394001,1817,51644.112717746,518,518,112,66.7638,4.9563,0,8.4548
